open,high,low,close,volume,payment_type,fare_amount
45.3125,45.53125,45.3125,45.515625,70900,CSH,45.75
45.453125,45.953125,45.453125,45.75,203300,CSH,45.890625
45.8125,46.03125,45.8125,45.890625,130100,CSH,45.75
45.671875,45.84375,45.625,45.75,266100,CSH,45.8125
45.75,45.84375,45.609375,45.8125,1120200,CSH,45.671875
45.859375,45.890625,45.671875,45.671875,675600,CSH,46.15625
45.703125,46.265625,45.703125,46.15625,544500,CSH,46.015625
46.15625,46.203125,45.96875,46.015625,222000,CSH,46.0625
45.984375,46.171875,45.984375,46.0625,125800,CSH,46.3125
46.21875,46.40625,46.1875,46.3125,95200,CSH,46.078125
46.359375,46.359375,45.96875,46.078125,358200,CSH,46.109375
46.25,46.25,46.0625,46.109375,220100,CSH,45.5625
46.203125,46.25,45.5625,45.5625,2209500,CSH,45.78125
45.703125,45.84375,45.6875,45.78125,324300,CSH,46
45.984375,46,45.75,46,351800,CSH,46
46.03125,46.109375,45.953125,46,89800,CSH,46.046875
46.09375,46.25,45.90625,46.046875,448400,CSH,46.09375
46.03125,46.09375,46,46.09375,36800,CSH,46.140625
46.203125,46.390625,46.140625,46.140625,229800,CSH,46.171875
46.296875,46.296875,45.8125,46.171875,222400,CSH,46.1875
46.125,46.21875,46.03125,46.1875,40300,CSH,46.734375
46.4375,46.734375,46.375,46.734375,170600,CSH,47.015625
46.71875,47.03125,46.71875,47.015625,105100,CSH,47.03125
46.921875,47.0625,46.859375,47.03125,89500,CSH,46.984375
47,47.078125,46.875,46.984375,84500,CSH,46.71875
46.828125,46.875,46.6875,46.71875,139100,CSH,46.546875
46.65625,46.671875,46.453125,46.546875,78700,CSH,46.6875
46.234375,46.6875,46.203125,46.6875,53700,CSH,46.75
46.671875,46.75,46.640625,46.75,32400,CSH,46.875
46.515625,47.046875,46.515625,46.875,15700,CSH,46.921875
46.84375,46.984375,46.75,46.921875,9800,CSH,47.109375
47.234375,47.234375,46.921875,47.109375,91200,CSH,46.90625
47.015625,47.046875,46.84375,46.90625,26600,CSH,47.09375
47,47.171875,46.921875,47.09375,127500,CSH,47.078125
47.15625,47.328125,47,47.078125,380200,CSH,47.359375
47.0625,47.359375,47.0625,47.359375,131700,CSH,48.03125
47.65625,48.109375,47.578125,48.03125,405100,CSH,48.234375
48.015625,48.375,47.96875,48.234375,405400,CSH,48.296875
48.3125,48.3125,48.140625,48.296875,702900,CSH,48.296875
48.234375,48.46875,48.203125,48.296875,521500,CSH,48.296875
48.21875,48.296875,48.125,48.296875,390700,CSH,48.359375
48.234375,48.359375,48.09375,48.359375,148300,CSH,48.375
48.328125,48.46875,48.328125,48.375,79700,CSH,48.4375
48.53125,48.53125,48.25,48.4375,170200,CSH,48.703125
48.4375,48.765625,48.390625,48.703125,431500,CSH,48.640625
48.640625,48.6875,48.5,48.640625,99300,CSH,48.453125
48.59375,48.625,48.4375,48.453125,49100,CSH,48.4375
48.453125,48.53125,48.421875,48.4375,168000,CSH,48.796875
48.484375,48.796875,48.453125,48.796875,386400,CSH,48.875
48.984375,49.15625,48.859375,48.875,402800,CSH,49
48.9375,49.015625,48.8125,49,307600,CSH,48.609375
48.859375,49,48.53125,48.609375,280900,CSH,49.015625
48.5625,49.015625,48.5625,49.015625,493500,CSH,48.703125
48.96875,49.03125,48.65625,48.703125,242600,CSH,48.765625
48.6875,48.765625,48.546875,48.765625,488600,CSH,48.78125
48.609375,48.78125,48.484375,48.78125,290000,CSH,48.8125
48.453125,48.8125,48.390625,48.8125,85700,CSH,48.4375
48.640625,48.75,48.21875,48.4375,180900,CSH,48.5625
48.515625,48.625,48.34375,48.5625,155900,CSH,48.546875
48.546875,48.59375,48.421875,48.546875,63500,CSH,49.265625
48.59375,49.390625,48.53125,49.265625,192100,CSH,49.21875
49.234375,49.390625,49.171875,49.21875,261300,CSH,49.578125
49.359375,49.640625,49.359375,49.578125,223300,CSH,49.484375
49.5,49.578125,49.296875,49.484375,278500,CSH,49.78125
49.4375,49.8125,49.4375,49.78125,20400,CSH,49.5625
49.4375,49.625,49.40625,49.5625,89900,CSH,49.5625
49.625,49.625,49.46875,49.5625,91700,CSH,49.4375
49.5625,49.875,49.359375,49.4375,104400,CSH,49.484375
49.53125,49.53125,49.328125,49.484375,74900,CSH,49.515625
49.421875,49.65625,49.359375,49.515625,220500,CSH,50.21875
49.671875,50.21875,49.671875,50.21875,134000,CSH,50.421875
50.296875,50.421875,50.171875,50.421875,132100,CSH,50.421875
50.296875,50.421875,50.234375,50.421875,121900,CSH,50.40625
50.375,50.890625,50.125,50.40625,246100,CSH,50.3125
50.515625,50.515625,50.109375,50.3125,298400,CSH,50.109375
49.921875,50.171875,49.546875,50.109375,541300,CSH,50.234375
50.09375,50.234375,50.0625,50.234375,193300,CSH,50.5625
50.25,50.5625,50.25,50.5625,66900,CSH,50.5625
50.453125,50.609375,50.421875,50.5625,107200,CSH,50.75
50.6875,50.796875,50.59375,50.75,352500,CSH,50.703125
50.859375,50.859375,50.46875,50.703125,361400,CSH,50.796875
50.625,50.796875,50.59375,50.796875,285400,CSH,50.625
50.921875,50.9375,50.59375,50.625,250300,CSH,50.796875
50.703125,50.796875,50.609375,50.796875,150900,CSH,51.078125
50.890625,51.09375,50.859375,51.078125,243400,CSH,50.78125
51.265625,51.3125,50.625,50.78125,178900,CSH,50.609375
50.828125,50.828125,50.484375,50.609375,329500,CSH,50.5625
50.609375,50.71875,50.296875,50.5625,223000,CSH,50.640625
50.703125,50.78125,50.4375,50.640625,207900,CSH,50.890625
50.65625,50.90625,50.65625,50.890625,145000,CSH,51.484375
50.859375,51.484375,50.859375,51.484375,169000,CSH,51.34375
51.40625,51.484375,51.3125,51.34375,293200,CSH,51.390625
51.25,51.421875,51.125,51.390625,204400,CSH,51.515625
51.3125,51.546875,51.28125,51.515625,502200,CSH,51.59375
51.5,51.671875,51.171875,51.59375,130800,CSH,51.453125
51.546875,51.65625,51.453125,51.453125,518700,CSH,51.5625
51.5,51.640625,51.390625,51.5625,228400,CSH,52.28125
51.734375,52.28125,51.734375,52.28125,724700,CSH,52.25
52.34375,52.6875,52.125,52.25,311400,CSH,52.1875
52.46875,52.46875,52.078125,52.1875,314900,CSH,52.5625
52.140625,52.734375,52.09375,52.5625,183100,CSH,52.515625
52.78125,52.84375,52.4375,52.515625,180600,CSH,52.578125
52.65625,52.671875,52.328125,52.578125,330300,CSH,52.71875
52.65625,52.71875,52.484375,52.71875,351700,CSH,52.75
52.515625,52.875,52.5,52.75,94600,CSH,53
52.890625,53,52.78125,53,147200,CSH,53.03125
52.984375,53.15625,52.890625,53.03125,221600,CSH,52.828125
53.03125,53.046875,52.78125,52.828125,189200,CSH,52.0625
52.734375,52.765625,52.0625,52.0625,577800,CSH,52.09375
51.984375,52.1875,51.90625,52.09375,363900,CSH,52.671875
52.265625,52.75,52.234375,52.671875,216000,CSH,53.15625
52.765625,53.15625,52.609375,53.15625,136800,CSH,53.125
53.25,53.421875,52.796875,53.125,370800,CSH,53.171875
52.96875,53.21875,52.71875,53.171875,379900,CSH,52.5625
52.96875,52.984375,52.359375,52.5625,518600,CSH,52.546875
52.6875,52.828125,52.375,52.546875,61500,CSH,53.640625
52.453125,53.640625,52.453125,53.640625,564500,CSH,53.5
53.40625,53.90625,53.25,53.5,810100,CSH,53.546875
53.28125,53.921875,53.09375,53.546875,112900,CSH,53.875
53.546875,54.046875,53.5,53.875,257200,CSH,53.78125
53.828125,54.015625,53.78125,53.78125,165800,CSH,53.5
53.671875,53.703125,53.4375,53.5,41900,CSH,53.375
53.484375,53.640625,53.375,53.375,141100,CSH,53.0625
53.265625,53.328125,52.75,53.0625,304900,CSH,53.359375
53.234375,53.578125,53.203125,53.359375,378500,CSH,53.9375
53.609375,53.96875,53.5625,53.9375,120000,CSH,53.890625
53.859375,53.953125,53.6875,53.890625,389400,CSH,54.125
53.96875,54.234375,53.875,54.125,274500,CSH,53.96875
53.703125,53.96875,53.703125,53.96875,325100,CSH,54.578125
54.125,54.609375,54.09375,54.578125,134600,CSH,54.4375
54.421875,54.609375,54.390625,54.4375,287800,CSH,54.40625
54.609375,54.65625,54.40625,54.40625,158200,CSH,55.125
54.640625,55.15625,54.640625,55.125,297000,CSH,55.015625
55,55.03125,54.84375,55.015625,315400,CSH,54.359375
54.859375,54.953125,54.359375,54.359375,132900,CSH,54.25
54.34375,54.703125,54.21875,54.25,127700,CSH,54.53125
54.25,54.75,54.078125,54.53125,212600,CSH,54.4375
54.53125,54.671875,54.0625,54.4375,89200,CSH,54.40625
